,Title,Published,Channel,Views,Likes,Comments,Shares,Description,Tags,Captions,Duration,Default Language
59,President Trump attends dignified transfer of Americans killed in Iran war,2026-03-07T21:43:52Z,USA TODAY,47393,539,381,,"President Trump joins top officials at Dover for a dignified transfer of six US troops killed in an Iranian drone attack.

Sign up for our newsletter for the day's top stories, from sports to movies to politics to world events: https://profile.usatoday.com/newsletters/daily-briefing/

#Trump #Military #Iran","['usa today', 'usa today news', 'dignified transfer', 'military', 'us military', 'iran', 'iran war', 'trump', 'donald trump', 'trump dignified transfer']",false,PT37S,en-US
60,See Kristi Noem thank President Trump for new role after DHS firing,2026-03-07T20:35:59Z,USA TODAY,98261,452,293,,"Kristi Noem appeared at the Shield of the Americas summit in Florida thanking President Donald Trump days after he fired her as homeland security secretary.

Sign up for our newsletter for the day's top stories, from sports to movies to politics to world events: https://profile.usatoday.com/newsletters/daily-briefing/

#KristiNoem #Trump #Politics","['usa today', 'usa today news', 'noem', 'kristi noem', 'kristi noem fired', 'noem fired', 'kristi noem thanks trump', 'trump', 'donald trump']",false,PT32S,en-US
61,Full Trump speech at 'Shield of the Americas' summit aimed at taking on cartels,2026-03-07T17:40:22Z,USA TODAY,6560,144,38,,"President Donald Trump hosted Latin American leaders in Doral, Florida at a summit for the 'Shield of the Americas’, a new initiative to be led by Kristi Noem and aimed at taking down cartels in the region. Sec. of State Marco Rubio and Defense Secretary Pete Hegseth also spoke at the event.

Read more: What is 'Shield of the Americas'? Kristi Noem takes new role after DHS ousting https://www.usatoday.com/story/news/politics/2026/03/05/shield-of-the-americas-initiative-kristi-noem/89003104007/

Sign up for our newsletter for the day's top stories, from sports to movies to politics to world events: https://profile.usatoday.com/newsletters/daily-briefing/

#Trump #LatinAmerica #Politics","['usa today', 'usa today news', 'trump', 'trump speech', 'donald trump', 'donald trump speech', 'shield of the americas', 'trump shield of the americas']",false,PT39M56S,en-US
62,Iran War feels 'like a step back.' Young men who supported Trump in 2024 react to attacks,2026-03-07T00:00:38Z,USA TODAY,1215,25,22,,"Male students at Saint Anselm College in Goffstown, New Hampshire, just outside of Manchester, N.H., who supported President Donald Trump's re-election bid against Kamala Harris, discuss his recent decisions in Iran and Venezuela. 

Read more: https://www.usatoday.com/live-story/news/world/2026/03/06/iran-war-us-israel-live-updates/89009295007/

Sign up for our newsletter for the day's top stories, from sports to movies to politics to world events: https://profile.usatoday.com/newsletters/daily-briefing/","['usa today', 'usa today news']",false,PT6M46S,en-US
63,DOJ releases Epstein files records with accusations against Trump,2026-03-06T21:42:01Z,USA TODAY,137960,1269,470,,"The DOJ released missing FBI interviews on the Jeffrey Epstein case that include accusations against President Donald Trump.

READ: https://www.usatoday.com/story/news/politics/2026/03/06/donald-trump-jeffrey-epstein-department-of-justice-fbi/89019940007/",No Tags,false,PT41S,en
64,Kamala Harris claims she 'predicted a lot about what's happening right now' in Trump's America,2026-03-06T21:31:24Z,USA TODAY,4077,27,23,,"Former Vice President Kamala Harris delivered a speech celebrating the life of the Rev. Jesse Jackson at his memorial service in Chicago on March 6. Harris said early in her speech that she ""predicted a lot about what's happening right now,"" in allusion to President Donald Trump's America.

Jackson's services kicked off Thursday, Feb. 26, and Friday, Feb. 27, at the Rainbow PUSH Coalition in Chicago's South Side.

🎥: POOL/REUTERS

Read more: https://www.usatoday.com/story/news/nation/2026/02/18/jesse-jackson-funeral-observances/88736592007/

Sign up for our newsletter for the day's top stories, from sports to movies to politics to world events: https://profile.usatoday.com/newsletters/daily-briefing/","['usa today', 'usa today news', 'jesse jackson funeral', 'jesse jackson memorial service']",false,PT2M26S,en-US
65,"Obama alludes to Trump's 'assault on our democratic institutions,' says it makes it 'hard to hope'",2026-03-06T20:35:25Z,USA TODAY,3541,93,89,,"Former President Barack Obama delivered a speech at civil rights activist Jesse Jackson's memorial service on March 6 in Chicago. Obama criticized President Donald Trump's America, saying ""it’s hard to hope.""

Jackson's services kicked off Thursday, Feb. 26, and Friday, Feb. 27, at the Rainbow PUSH Coalition in Chicago's South Side.

🎥: POOL/REUTERS

Read more: https://www.usatoday.com/story/news/nation/2026/02/18/jesse-jackson-funeral-observances/88736592007/

Sign up for our newsletter for the day's top stories, from sports to movies to politics to world events: https://profile.usatoday.com/newsletters/daily-briefing/","['usa today', 'usa today news', 'jesse jackson funeral', 'jesse jackson memorial service']",false,PT3M20S,en-US
66,"Obama, Bidens, Clintons attend Rev. Jesse Jackson's funeral in Chicago",2026-03-06T18:55:30Z,USA TODAY,606129,11950,443,,"Former Presidents Barack Obama, Joe Biden and Bill Clinton attended a public memorial service to celebrate the life of civil rights activist Reverend Jesse Jackson in Chicago.

READ: https://www.usatoday.com/story/news/politics/2026/03/06/rev-jesse-jackson-funeral-chicago/88904180007/",No Tags,false,PT39S,en
67,President Donald Trump demands Iran's 'unconditional surrender',2026-03-06T18:09:07Z,USA TODAY,5258,28,34,,"President Donald Trump demanded Iran's ""unconditional surrender"" in a social media post despite Iran saying they are prepared for a U.S. ground invasion.

Read more: https://www.usatoday.com/live-story/news/world/2026/03/06/iran-war-us-israel-live-updates/89009295007/","['Iran ready US ground invasion', 'Iranian Foreign Minister Abbas Araghchi refuse US negotiations', 'President Donald Trump demand Iran unconditional surrender', 'Trump sparks US Iran war', 'US Iran ceasefire', 'US Iran military airstrike', 'US Iran violence', 'US Iran war', 'US Iran war casualties', 'US Iran war negotiations']",false,PT37S,en
68,Trump describes ‘very good call’ with Vladimir Putin,2026-03-09T23:04:12Z,USA TODAY,6294,67,36,,"President Donald Trump said he spoke about Ukraine and the Middle East on a ""very good call"" with Russia's Vladimir Putin.

READ: https://www.usatoday.com/live-story/news/world/2026/03/09/iran-united-states-war-live-updates/89055802007/",No Tags,false,PT41S,en
